,subject,response_raw,act_as,against,temp,response
0,1,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
1,2,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
2,3,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
3,4,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
4,5,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
5,6,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
6,7,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
7,8,"[ContentBlock(text='[20]', type='text')]",human decision maker,human decision maker,0.25,20
8,9,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
9,10,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
10,11,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
11,12,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
12,13,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
13,14,"[ContentBlock(text='[20]', type='text')]",human decision maker,human decision maker,0.25,20
14,15,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
15,16,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
16,17,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
17,18,"[ContentBlock(text='[20]', type='text')]",human decision maker,human decision maker,0.25,20
18,19,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
19,20,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
20,21,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
21,22,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
22,23,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
23,24,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
24,25,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
25,26,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
26,27,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
27,28,"[ContentBlock(text='[20]', type='text')]",human decision maker,human decision maker,0.25,20
28,29,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
29,30,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
30,31,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
31,32,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
32,33,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
33,34,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
34,35,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
35,36,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
36,37,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
37,38,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
38,39,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
39,40,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
40,41,"[ContentBlock(text='[19]', type='text')]",human decision maker,human decision maker,0.25,19
