,subject,response,act_as,against,temp,response_raw
0,1,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
1,2,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
2,3,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
3,4,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
4,5,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
5,6,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
6,7,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
7,8,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
8,9,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
9,10,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
10,11,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
11,12,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
12,13,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
13,14,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
14,15,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
15,16,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
16,17,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
17,18,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
18,19,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
19,20,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
20,21,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
21,22,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
22,23,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
23,24,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
24,25,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
25,26,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
26,27,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
27,28,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
28,29,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
29,30,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
30,31,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
31,32,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
32,33,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
33,34,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
34,35,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
35,36,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
36,37,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
37,38,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
38,39,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
39,40,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
40,41,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
41,42,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
42,43,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
43,44,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
44,45,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
45,46,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
46,47,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
47,48,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
48,49,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
49,50,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
50,51,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
51,52,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
52,53,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
53,54,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20] dollars', type='text')]"
54,55,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
55,56,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
56,57,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
57,58,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
58,59,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
59,60,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
60,61,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
61,62,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
